codigo_departamento,codigo_dpto_mpio,codigo_centro_poblado,nombre_departamento,nombre_municipio,nombre_centro_poblado,nombre_tipo_ctro_pbdo,longitud,latitud,nombre_distrito,tipo_municipio,nombre_area_metro
"05","05101","05101000","ANTIOQUIA","CIUDAD BOLIVAR","CIUDAD BOLIVAR","CABECERA MUNICIPAL","-76.021509205","5.85027323212","","MUNICIPIO","",
"05","05101","05101002","ANTIOQUIA","CIUDAD BOLIVAR","SAN BERNARDO DE LOS FARALLONES","CENTRO POBLADO","-76.0293877023","5.79989811601","","MUNICIPIO","",
"05","05101","05101006","ANTIOQUIA","CIUDAD BOLIVAR","ALFONSO LOPEZ (SAN GREGORIO)","CENTRO POBLADO","-75.9570605541","5.89561434183","","MUNICIPIO","",
"05","05101","05101008","ANTIOQUIA","CIUDAD BOLIVAR","VILLA ALEGRIA","CENTRO POBLADO","-76.0135914757","5.78320520416","","MUNICIPIO","",
"05","05101","05101010","ANTIOQUIA","CIUDAD BOLIVAR","EL CABRERO - BOLIVAR ARRIBA","CENTRO POBLADO","-76.0356529552","5.86598282705","","MUNICIPIO","",
"05","05107","05107000","ANTIOQUIA","BRICENO","BRICENO","CABECERA MUNICIPAL","-75.5481302168","7.11488294739","","MUNICIPIO","",
"05","05107","05107001","ANTIOQUIA","BRICENO","BERLIN (PUEBLO NUEVO)","CENTRO POBLADO","-75.6259322731","7.1075897064","","MUNICIPIO","",
"05","05107","05107002","ANTIOQUIA","BRICENO","EL ROBLAL","CENTRO POBLADO","-75.5867746328","7.13765263676","","MUNICIPIO","",
"05","05107","05107003","ANTIOQUIA","BRICENO","LAS AURAS","CENTRO POBLADO","-75.5152167081","7.19378938637","","MUNICIPIO","",
"05","05107","05107004","ANTIOQUIA","BRICENO","TRAVESIAS","CENTRO POBLADO","-75.5717698537","7.13397153806","","MUNICIPIO","",
"05","05113","05113000","ANTIOQUIA","BURITICA","BURITICA","CABECERA MUNICIPAL","-75.9075347298","6.71973517464","","MUNICIPIO","",
"05","05113","05113001","ANTIOQUIA","BURITICA","EL NARANJO","CENTRO POBLADO","-75.901888713","6.689040758","","MUNICIPIO","",
"05","05113","05113002","ANTIOQUIA","BURITICA","GUARCO","CENTRO POBLADO","-75.941717852","6.727221032","","MUNICIPIO","",
"05","05113","05113003","ANTIOQUIA","BURITICA","TABACAL","CENTRO POBLADO","-75.9144993882","6.80592692169","","MUNICIPIO","",
"05","05113","05113004","ANTIOQUIA","BURITICA","LLANOS DE URARCO","CENTRO POBLADO","-75.916960544","6.910787259","","MUNICIPIO","",
"05","05113","05113005","ANTIOQUIA","BURITICA","LA ANGELINA","CENTRO POBLADO","-75.847999474","6.694492845","","MUNICIPIO","",
